Year,0Ð4,5Ð9,10Ð14,15Ð19,20Ð24,25Ð29,30Ð34,35Ð39,40Ð44,45Ð49,50Ð54,55Ð59,60Ð64,65Ð69,70Ð74,75Ð79,80Ð84,85+,Missing,Total
1980,69,79,55,91,88,116,209,308,517,862,"1,575","2,410","2,844","3,655","3,630","3,123","2,177","1,750",3,"23,561"
1981,89,59,59,79,72,135,212,334,504,868,"1,516","2,439","2,820","3,703","3,815","3,234","2,308","1,788",5,"24,039"
1982,64,68,56,73,105,113,200,314,553,879,"1,605","2,501","3,069","3,918","3,926","3,435","2,369","1,905",0,"25,153"
1983,73,50,47,69,97,129,231,347,510,842,"1,560","2,522","3,360","3,794","4,160","3,541","2,546","1,966",1,"25,845"
1984,69,59,69,75,80,128,214,362,582,803,"1,526","2,479","3,390","3,714","4,261","3,652","2,631","2,009",2,"26,105"
1985,73,68,49,83,107,132,224,395,519,933,"1,563","2,578","3,648","3,951","4,490","3,931","2,851","2,351",2,"27,948"
1986,65,49,51,61,100,130,224,373,633,892,"1,415","2,446","3,601","4,107","4,642","4,136","2,786","2,445",0,"28,156"
1987,54,43,44,64,73,140,222,402,578,902,"1,463","2,445","3,584","4,177","4,586","4,188","3,065","2,527",0,"28,557"
1988,45,47,46,79,71,126,211,382,659,968,"1,477","2,370","3,778","4,366","4,754","4,687","3,252","2,567",2,"29,887"
1989,53,52,52,78,75,119,245,408,675,"1,020","1,497","2,270","3,709","4,583","4,701","4,718","3,442","2,727",0,"30,424"
1990,62,43,38,66,81,147,227,387,725,993,"1,505","2,301","3,622","4,740","4,722","4,776","3,428","2,880",1,"30,744"
1991,42,45,40,70,81,134,235,425,687,"1,024","1,594","2,189","3,639","4,802","4,899","4,957","3,732","3,014",0,"31,609"
1992,56,40,41,68,79,132,246,386,709,"1,075","1,599","2,228","3,494","4,822","5,259","4,934","3,920","3,316",1,"32,405"
1993,58,48,41,56,82,124,241,412,675,"1,065","1,562","2,277","3,452","4,847","5,386","5,158","4,115","3,576",1,"33,176"
1994,66,52,61,55,79,127,212,412,714,"1,117","1,614","2,350","3,389","4,947","5,839","5,125","4,284","3,762",1,"34,206"
1995,57,55,39,59,84,104,242,344,664,"1,114","1,634","2,186","3,305","4,929","5,852","5,186","4,577","3,937",0,"34,368"
1996,62,50,42,63,62,129,220,385,673,"1,133","1,675","2,254","3,249","4,824","5,839","5,615","4,745","4,231",1,"35,252"
1997,52,54,38,66,69,130,211,360,639,"1,109","1,765","2,311","3,266","4,675","5,966","5,588","4,731","4,333",0,"35,363"
1998,68,49,46,62,67,108,220,348,637,"1,117","1,777","2,295","3,215","4,465","5,954","5,872","4,754","4,554",1,"35,609"
1999,46,50,36,74,72,127,175,347,647,"1,080","1,728","2,353","3,087","4,304","5,989","6,134","4,692","4,915",0,"35,856"
2000,38,41,34,51,71,86,187,342,607,"1,028","1,840","2,481","3,062","4,233","5,839","6,314","4,874","5,245",1,"36,374"
2001,47,42,39,51,68,91,183,362,646,"1,098","1,784","2,558","3,171","4,192","5,982","6,504","5,224","5,453",2,"37,497"
2002,50,44,39,61,61,99,189,311,599,"1,097","1,820","2,646","3,303","4,216","5,814","6,789","5,599","5,677",12,"38,426"
2003,40,43,29,51,72,104,190,332,670,"1,121","1,706","2,717","3,365","4,251","5,472","6,562","5,800","5,866",1,"38,392"
2004,53,37,35,55,67,93,191,297,613,"1,099","1,802","2,669","3,347","4,224","5,393","6,739","6,145","5,994",0,"38,853"
2005,42,35,30,49,67,79,177,274,611,"1,059","1,761","2,692","3,441","4,352","5,327","6,617","6,238","6,365",6,"39,222"
2006,45,32,23,47,56,84,166,293,592,"1,065","1,731","2,753","3,478","4,311","5,180","6,481","6,646","6,787",0,"39,770"
2007,34,38,22,56,73,106,149,329,557,"1,140","1,749","2,713","3,790","4,433","5,071","6,478","6,547","7,045",1,"40,331"
2008,34,35,23,41,81,95,146,305,595,"1,087","1,761","2,666","3,938","4,497","5,416","6,675","7,067","7,961",0,"42,423"
2009,28,29,28,52,50,103,145,307,561,"1,105","1,793","2,658","3,899","4,581","5,520","6,176","6,941","7,989",0,"41,965"
2010,44,46,31,50,52,97,138,323,547,"1,065","1,755","2,695","3,938","4,768","5,713","6,291","7,165","8,589",3,"43,310"
2011,42,40,23,40,58,109,151,331,582,"1,033","1,753","2,734","4,064","4,857","5,625","6,264","7,079","8,946",1,"43,732"
2012,35,36,19,48,62,111,137,263,517,968,"1,700","2,700","3,956","5,040","5,601","6,284","6,854","9,174",0,"43,505"
2013,46,30,31,46,54,115,165,274,534,994,"1,792","2,672","3,908","5,371","5,728","6,260","6,935","9,716",3,"44,674"