Year,0-4,9-May,14-Oct,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Missing,Total
1980,0,0,0,1,4,18,62,134,326,667,1381,2138,2962,4440,4880,5031,4167,4508,9,30728
1981,0,0,1,2,4,20,46,136,297,667,1242,2169,3034,4516,5147,5081,4252,4810,9,31433
1982,2,0,0,2,6,16,67,143,312,621,1218,2098,2998,4381,5265,5468,4541,5203,4,32345
1983,0,0,0,3,11,28,47,156,299,558,1154,2050,2952,4095,5156,5376,4569,4929,5,31388
1984,0,0,1,0,7,16,72,143,325,547,931,1892,2955,3794,5235,5253,4703,5069,8,30951
1985,0,0,0,1,5,22,43,131,287,531,990,1824,2878,3781,5471,5716,5135,5779,9,32603
1986,0,0,0,1,5,14,48,156,303,527,907,1710,2899,3772,5090,5785,4989,5795,2,32003
1987,0,0,0,3,9,19,49,120,260,517,856,1629,2620,3767,5155,5854,5163,6066,6,32093
1988,0,0,0,0,8,19,48,135,305,474,812,1473,2513,3811,4970,5734,5215,6067,0,31584
1989,0,0,0,0,2,25,40,136,237,479,773,1348,2484,3709,4904,6074,5627,6801,0,32639
1990,0,0,0,5,8,21,42,114,269,418,715,1281,2276,3654,4569,5836,5409,6557,0,31174
1991,0,0,0,4,7,13,42,106,249,429,647,1126,2104,3309,4449,5703,5542,6589,4,30323
1992,2,0,0,0,5,11,51,102,250,436,700,1120,2037,3222,4471,5770,5882,7419,4,31482
1993,0,0,1,0,6,12,46,121,223,378,644,1062,1828,3055,4396,5250,5523,7215,2,29762
1994,0,0,0,3,5,14,51,106,197,410,635,928,1644,3010,4233,5289,6062,7987,1,30575
1995,2,0,0,0,8,12,49,122,227,404,642,956,1541,2676,4209,4905,5811,8047,2,29613
1996,0,0,0,4,5,22,45,106,220,409,610,896,1498,2540,3990,4852,5970,8463,7,29637
1997,0,0,0,1,5,12,52,128,207,396,623,894,1453,2431,3830,4684,5848,8889,4,29457
1998,2,0,0,1,2,22,50,121,221,358,592,862,1297,2221,3533,4702,5580,8732,3,28299
1999,0,0,3,3,10,17,44,109,209,368,589,857,1230,1957,3374,4620,5189,9024,6,27609
2000,1,0,0,2,6,15,44,115,217,367,577,775,1125,1758,3140,4310,4906,9158,5,26521
2001,0,0,1,1,4,16,61,113,204,356,573,825,1155,1661,2868,4087,4913,9391,5,26234
2002,0,0,0,2,2,22,39,93,202,352,542,825,1099,1568,2639,3937,4948,9777,16,26063
2003,0,0,0,4,4,17,52,95,192,372,526,795,1049,1469,2382,3799,4930,9753,0,25439
2004,4,0,1,0,8,17,40,102,194,357,496,775,1011,1467,2165,3509,4759,9670,1,24576
2005,1,0,0,0,10,16,41,99,212,376,515,753,962,1325,1816,3209,4669,9562,4,23570
2006,1,0,0,2,5,14,49,97,187,320,512,672,939,1260,1710,3004,4523,9836,1,23132
2007,2,0,0,1,5,12,38,88,175,320,489,713,947,1224,1742,2910,4348,9940,2,22956
2008,0,0,1,1,4,16,45,96,180,340,473,681,1018,1268,1765,2766,4401,10757,1,23813
2009,3,0,0,2,10,15,44,87,195,310,483,645,975,1175,1668,2532,4096,10342,5,22587
2010,0,0,0,0,7,11,40,78,156,327,465,680,914,1118,1536,2299,3863,10226,1,21721
2011,1,0,0,0,5,21,36,75,157,298,479,679,970,1114,1516,2159,3587,10429,0,21526
2012,0,0,0,3,3,7,38,68,165,253,439,588,818,1127,1358,1949,3363,9929,0,20108
2013,0,0,0,2,2,11,30,70,122,283,431,636,845,1222,1351,1896,3080,9782,3,19766